Month,t,Світові ціни на пшеницю,Кількість запититів Global Wheat Prices,Кількість запититів COVID-19 symptoms
Jan-20,1,224.5,8,0
Feb-20,2,215.32,16,3
Mar-20,3,209.07,22,299
Apr-20,4,218.99,35,145
May-20,5,205.76,50,130
Jun-20,6,198.42,44,195
Jul-20,7,222.13,32,296
Aug-20,8,223,15,210
Sep-20,9,247.68,46,180
Oct-20,10,272.36,47,180
Nov-20,11,273,56,226
Dec-20,12,268.55,58,242
Jan-21,13,289.3,48,219
Feb-21,14,289.4,32,96
Mar-21,15,273.13,64,98
Apr-21,16,280.95,32,126
May-21,17,297.25,24,106
Jun-21,18,285.55,8,71
Jul-21,19,294.27,0,108
Aug-21,20,324.52,34,211
Sep-21,21,337.55,9,139
Oct-21,22,354.67,62,115
Nov-21,23,379.45,34,91
Dec-21,24,376.81,10,180
Jan-22,25,374.24,18,221
Feb-22,26,390.5,117,55
Mar-22,27,486.3,232,55
Apr-22,28,495.28,102,57