Рік,Місяць,t,"Приватні перекази, x1","Прямі інвестиції (сальдо), x2","Офіційний курс гривні додолара, x3","Офіційний курс гривні до євро, x4","Індекс реальної зарплати до відповідного місяця попереднього року, x5","Кількість нових випадків COVID-19 в Україні, x6","Кількість нових випадків COVID-19 у Китаї, x7","Кількість нових випадків COVID-19 в Польші, x8","Кількість нових випадків COVID-19 в Німеччині, x9","ВВП Німеччинм, х10","ВВП Китаю, х11","ВВП Польша, х12","Експорт товарів, y1","Імпорт товарів, y2","Сальдо зовнішньої торгівлі, y3"
2020,січ,1,948,466,24.9196,27.4751,112.5,0,9242,0,0,99.65650868,98.13336072,100.3521258,3793,3982,-189
,лют,2,972,382,24.561,26.9299,112.2,0,11330,0,18,99.62380549,85.65112313,100.2444525,3602,4409,-807
,берез,3,946,712,28.0615,30.9617,109.3,645,15974,2311,561,94.71989593,97.82264568,98.44127569,3863,4606,-743
,квіт,4,850,-316,26.9714,29.2424,99.6,9761,18783,10566,588179,91.48709573,97.79078973,93.38600414,3621,3317,304
,трав,5,889,-445,26.9059,29.6234,101.4,13266,22289,10909,3942925,89.84062956,97.84911422,90.72316394,3186,3261,-75
,черв,6,954,-491,26.6922,29.95,104.8,21582,25352,10855.431,20401,91.87086462,97.99215519,92.47883112,3038,3836,-798
,лип,7,1036,-59,27.6913,32.547,105.1,26150,27694,11295,5670762,93.90342691,98.21236339,94.22827258,3354,4330,-976
,серп,8,1015,54,27.4759,32.7334,106,52728,28584,21684,6265079,95.93313552,98.50363114,95.96828295,3868,4292,-424
,вер,9,1026,102,28.2989,33.1309,109.7,90314,30711,24142,7024733,96.05107019,98.86015636,95.57164105,3776,4467,-691
,жовт,10,1085,-120,28.4383,33.2984,110.6,184884,31669,271217,8023521,96.16602843,99.27562458,95.17682602,4225,4744,-519
,лист,11,1066,-102,28.4681,33.9596,108.1,353013,32526,628080,11653042,96.2785989,99.74147551,94.78312392,4315,5076,-761
,груд,12,1193,-66,28.2746,34.7396,110.1,334654,32459,304067,24564361,95.70956117,100.2418465,94.87445817,4502,5601,-1099
2021,січ,13,934,-652,28.1929,34.1035,108.3,174549,28094,218507,44110281,95.14342264,100.7494236,94.96334576,3560,3983,-423
,лют,14,1044,-109,27.9301,34.1459,107.6,133982,40141,193601,62555325,94.58217433,101.2212041,95.04998413,4097,4632,-535
,берез,15,1199,-697,27.8852,32.7233,109.5,329501,42612,614731,65660655,94.96932202,101.61637,95.20208809,4827,5767,-940
,квіт,16,1157,-629,27.75,33.6427,119.7,399041,40938,614731,81244650,95.35625099,101.9154855,95.35187913,4909,5057,-148
,трав,17,1106,-359,27.5004,33.3896,116.8,136829,39893,80141,93513080,95.74234254,102.1154788,95.49950054,5158,4981,177
,черв,18,1190,-349,27.1763,32.3018,112.9,39202,38289,7629,111203900,96.10772774,102.2241905,95.55531156,4905,5231,-326
,лип,19,1213,-617,26.8867,31.9239,110.2,33308,37361,3027,111665218,96.47372081,102.2567021,95.59952244,5186,5973,-787
,серп,20,1231,-744,26.8601,31.6963,110.9,49360,34756,5731,119307341,96.83932007,102.2327985,95.64328954,5931,6112,-181
,вер,21,1266,-685,26.576,30.981,106.9,148737,32693,18401,116353133,97.96475431,102.1735035,95.70112356,5993,6408,-415