Year,BALGR,IMGR_DVA,FFD_DVAPSH,EXGR_INT,EXGR_FNL,IMGR_INT,IMGR_FNL
2005,-16552.4,1313.7,10.37,33763.1,28215,41425.37,37105.1
2006,-18375.8,1417.9,10.12,36871.7,30394.2,46731.95,38909.7
2007,-24389.5,1776.2,10.09,45229.6,33341.4,55398.73,47561.7
2008,-29017,1875.9,9.96,47206.3,36895.6,61702.28,51416.5
2009,-23881.7,1307.3,9.79,34703.2,29487.3,47271.21,40801
2010,-25861.7,2003.3,10.49,44422.6,33890,58876.66,45297.7
2011,-31835,2212.1,10.18,50888.7,35626.3,65477.57,52872.4
2012,-32325.1,1993,9.51,45629.8,31015.4,61619.54,47350.8
2013,-28136.6,2136.3,9.9,48676.8,35165.8,63036.64,48942.6
2014,-29603.2,2278,10.11,50993.8,37727.3,65478.88,52845.4
2015,-27003.1,1842.1,9.56,43048.2,30183.8,56094.07,44141